action,question
活動の中で一番嬉しかった出来事を聞いてみよう,活動をやっていて良かったと思った瞬間はありますか？
活動のきっかけを聞いてみよう,なぜ地域おこし協力隊になったんですか？
地域の推しを聞いてみよう,この地域の一番の魅力は何ですか？
おすすめスポットを聞いてみよう,地元の人しか知らないおすすめの場所はありますか？
お気に入りの景色を聞いてみよう,一番好きな地域の風景はどこですか？
地域のおすすめグルメを聞いてみよう,絶対食べてほしいものはありますか？
意外な発見を聞いてみよう,地域に来てみて驚いたことはありますか？
協力隊になって変わったことを聞いてみよう,協力隊になって一番変わったことは何ですか？
乗り越えたことを聞いてみよう,大変だったことはどうやって乗り越えましたか？
任期後の展望を聞いてみよう,任期後は何をしたいですか？
地域の面白い文化を聞いてみよう,この地域ならではの文化はありますか？
地域の方との思い出を聞いてみよう,印象に残っている地域の人はいますか？
おすすめイベントを聞いてみよう,地域で好きなお祭りやイベントはありますか？
活動の原動力を聞いてみよう,活動を続けるモチベーションは何ですか？
休日の過ごし方を聞いてみよう,お休みの日は何をしていますか？
地域の四季を聞いてみよう,一番好きな地域の季節はいつですか？
お気に入りのお店を聞いてみよう,よく行くお店はありますか？
推しスポットを聞いてみよう,友達が来たらどこに案内しますか？
地域の人の魅力を聞いてみよう,地域の人の魅力ってどんなところですか？
活動の裏話を聞いてみよう,実はあまり知られていない活動はありますか？
協力隊あるあるを聞いてみよう,協力隊になって驚いたことは？
おすすめの写真スポットを聞いてみよう,一番写真映えする場所は？
移住前との違いを聞いてみよう,暮らしで変わったことはありますか？
最近の挑戦を聞いてみよう,最近チャレンジしたことはなんですか？
好きな地域資源を聞いてみよう,一番好きな特産品はなんですか？
おすすめ散歩コースを聞いてみよう,お気に入りの散歩コースはありますか？
忘れられない出来事を聞いてみよう,一番印象に残っている出来事は？
地域の課題を聞いてみよう,地域の“もっと良くしたい”と思うことは？
活動のやりがいを聞いてみよう,活動をしていて、どんな時に達成感がありますか？
地域の名物人物を聞いてみよう,地域に面白い人はいますか？
今おすすめしたいことを聞いてみよう,今一番知ってほしいことは？
地域の推しポイントを聞いてみよう,他の地域に負けない魅力は？
思わず笑った話を聞いてみよう,最近笑った出来事は？
地域の不思議を聞いてみよう,不思議だなと思ったことは？
一日観光プランを聞いてみよう,初めて地域を訪れた人にどう案内しますか？
地域の季節限定を聞いてみよう,地域で今しか見られないものは？
活動で得た学びを聞いてみよう,活動で学んだことは？
おすすめのお土産を聞いてみよう,地域のお土産を買うなら何がおすすめですか？
今後の野望を聞いてみよう,今後実現したい夢はありますか？
地域の推し人物を聞いてみよう,尊敬する地域の人はいますか？
あなた自身の魅力を聞いてみよう,自分の強みは何だと思いますか？
活動で一番驚いたことを聞いてみよう,想像と違ったことはありましたか？
好きな季節の楽しみ方を聞いてみよう,この地域ならではの季節の楽しみは？
地域で覚えた言葉を聞いてみよう,印象に残っている方言はありますか？
おすすめの体験を聞いてみよう,地域に来たらぜひ体験してほしいことは？
活動で協力してくれた人を聞いてみよう,活動をするうえで感謝している人はいますか？
地域の誇りを聞いてみよう,地域の人が大切にしているものはなんですか？
活動の転機を聞いてみよう,ターニングポイントになった出来事はありますか？
好きな特産品を聞いてみよう,毎日でも食べたい地元の食べ物はありますか？
地域での初体験を聞いてみよう,地域に来て初めて経験したことはありますか？
おすすめの散策エリアを聞いてみよう,歩いて楽しい場所はどこですか？
活動の工夫を聞いてみよう,うまくいくために工夫していることは？
地域の未来を聞いてみよう,10年後、地域にどうなっていてほしいですか？
地域の穴場グルメを聞いてみよう,あまり知られていない名店は？
一番思い出のある場所を聞いてみよう,特別な思い出の場所はありますか？
最近うれしかったことを聞いてみよう,最近の小さな成功はありますか？
おすすめの季節イベントを聞いてみよう,ぜひ見てほしい地域の行事はありますか？
地域のキャッチコピーを考えてもらおう,ひと言で表すとどんな地域ですか？
好きな地域の風景を聞いてみよう,心が落ち着く場所はありますか？
地域の伝統を聞いてみよう,受け継がれている文化はありますか？
活動での挑戦を聞いてみよう,今チャレンジ中のことはなんですか？
地域で好きになったものを聞いてみよう,来る前は知らなかった地域の魅力はなんですか？
地域のおすすめ写真を聞いてみよう,写真を撮るならどこがおすすめですか？
忘れられない出会いを聞いてみよう,活動をしていて印象的な出会いはありましたか？
地域での暮らしを聞いてみよう,地域に暮らしてみて感じたことはなんですか？
活動の成功体験を聞いてみよう,活動をしていて手応えを感じた出来事は？
おすすめのドライブコースを聞いてみよう,ドライブで案内するならどこを回りますか？
地域の自慢の人を聞いてみよう,ぜひ会ってほしい地域の人はいますか？
活動で苦労したことを聞いてみよう,今だから笑える苦労話はありますか？
活動の学びを深掘りしよう,活動をしていて、一番成長したと思うことは？
活動での発見を聞いてみよう,意外だった地域の魅力ってありますか？
地域の宝探しをしよう,もっと知ってほしい場所はありますか？
活動の目標を聞いてみよう,今年達成したいことはありますか？
協力隊の醍醐味を聞いてみよう,協力隊をやっていて何が一番楽しいですか？
活動のきっかけになった人を聞いてみよう,活動をするうえで影響を受けた人はいますか？
地域への愛を聞いてみよう,この地域を好きな理由はなんですか？
